SpaceKinova eingerichtet: C:\Users\Deermste\Documents\FraUas\BachelorThesis\Matlab
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 2 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 8 workers.
D10: 40 Hz, Seed 0, 1000 Episoden, 8 Worker, Solver 0.005 s
Episode:   1/1000 | Episode reward:  -522.98 | Episode steps:  218 | Average reward:  -522.98 | Step Count:  218 | Episode Q0:     0.00
Episode:  36/1000 | Episode reward:  -620.24 | Episode steps:  340 | Average reward:  -453.93 | Step Count: 11978 | Episode Q0:    16.62
Episode:  37/1000 | Episode reward:   -68.84 | Episode steps:  340 | Average reward:  -419.64 | Step Count: 12318 | Episode Q0:    16.62
Episode:  38/1000 | Episode reward:  -268.13 | Episode steps:  340 | Average reward:  -388.88 | Step Count: 12658 | Episode Q0:    16.62
Episode:  39/1000 | Episode reward:  -222.59 | Episode steps:  340 | Average reward:  -388.40 | Step Count: 12998 | Episode Q0:    22.56
Episode:  40/1000 | Episode reward:  -357.73 | Episode steps:  340 | Average reward:  -366.31 | Step Count: 13338 | Episode Q0:    22.56
Episode:  41/1000 | Episode reward:  -197.70 | Episode steps:  340 | Average reward:  -360.88 | Step Count: 13678 | Episode Q0:    22.56
Episode:  42/1000 | Episode reward:  -195.96 | Episode steps:  340 | Average reward:  -359.48 | Step Count: 14018 | Episode Q0:    22.56
Episode:  43/1000 | Episode reward:  -221.03 | Episode steps:  340 | Average reward:  -349.60 | Step Count: 14358 | Episode Q0:    22.56
Episode:  44/1000 | Episode reward:  -343.84 | Episode steps:  340 | Average reward:  -347.25 | Step Count: 14698 | Episode Q0:    22.56
Episode:  45/1000 | Episode reward:  -215.58 | Episode steps:  340 | Average reward:  -348.59 | Step Count: 15038 | Episode Q0:    30.25
Episode:  46/1000 | Episode reward:  -199.14 | Episode steps:  340 | Average reward:  -341.32 | Step Count: 15378 | Episode Q0:    30.25
Episode:  47/1000 | Episode reward:  -325.84 | Episode steps:  340 | Average reward:  -333.85 | Step Count: 15718 | Episode Q0:    30.25
Episode:  48/1000 | Episode reward:  -247.16 | Episode steps:  340 | Average reward:  -327.37 | Step Count: 16058 | Episode Q0:    30.25
Episode:  49/1000 | Episode reward:  -145.12 | Episode steps:  340 | Average reward:  -308.56 | Step Count: 16398 | Episode Q0:    30.25
Episode:  50/1000 | Episode reward:  -378.30 | Episode steps:  340 | Average reward:  -293.63 | Step Count: 16738 | Episode Q0:    30.25
Episode:  51/1000 | Episode reward:  -173.95 | Episode steps:  340 | Average reward:  -290.97 | Step Count: 17078 | Episode Q0:    36.79
Episode:  52/1000 | Episode reward:  -399.72 | Episode steps:  340 | Average reward:  -293.77 | Step Count: 17418 | Episode Q0:    36.79
